a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2017,1,NEMD,3,1,1,SUN,1,1,3,28,339189,339097,13,60, , , , , , , , , , 
2017,2,MEAN,3,2,1,SUN,1,1,3,37,305164,401602,13,30, , , , , , , , , , 
2017,3,ARBC,2,1,1,SUN,1,1,10,26,288498,345801,13,30,2,7,1,1,2,10,1,1,1,1
2017,4,ANTN,3,2,1,SUN,1,1,10,56,334975,380862,13,30, , , , , , , , , , 
2017,5,ANTN,2,2,2,SUN,1,1,11,57,313692,389836,13,60,1,1,1,1,2,1,1,1,1,1
2017,6,ARND,3,2,4,SUN,1,1,12,52,353373,375446,13,60, , , , , , , , , , 
2017,7,LISC,3,3,1,SUN,1,1,13,9,327818,363612,13,30, , , , , , , , , , 
2017,8,MEAN,2,1,2,SUN,1,1,17,10,321640,399559,13,60,1,1,1,1,2,1,2,1,1,1
2017,9,CCGL,2,1,1,MON,2,1,8,30,267513,409174,13,60,10,7,1,1,1,1,4,1,1,1
2017,10,MEAN,2,3,4,MON,2,1,9,27,311983,396730,11,60,10,7,1,1,2,9,4,1,1,1
2017,11,DCST,3,2,3,MON,2,1,12,0,235159,379462,13,60, , , , , , , , , , 
2017,12,BELC,3,2,1,MON,2,1,13,0,333748,371458,1,30, , , , , , , , , , 
2017,13,NEMD,3,2,2,MON,2,1,14,15,348849,344044,13,30, , , , , , , , , , 
2017,14,CCGL,3,3,1,MON,2,1,14,51,285006,433017,13,30, , , , , , , , , , 
2017,15,MIDU,3,2,1,MON,2,1,15,19,253938,351814,13,30, , , , , , , , , , 
2017,16,ARND,3,2,2,MON,2,1,17,35,350069,379404,1,30, , , , , , , , , , 
2017,17,CCGL,3,2,2,MON,2,1,18,15,296787,433824,13,60, , , , , , , , , , 
2017,18,BELC,3,2,2,MON,2,1,22,19,332897,375367,13,30, , , , , , , , , , 
2017,19,ANTN,2,1,1,MON,2,1,23,39,317014,389023,12,70,1,1,1,1,6,1,2,1,1,1
2017,20,LISC,3,2,4,TUE,3,1,10,30,339927,368612,13,60, , , , , , , , , , 
2017,21,ANTN,3,2,3,TUE,3,1,11,44,334962,389913,13,60, , , , , , , , , , 
2017,22,BELC,3,2,1,TUE,3,1,13,20,330830,377408,13,30, , , , , , , , , , 
2017,23,FERO,3,2,1,TUE,3,1,13,55,221863,345153,13,50, , , , , , , , , , 
2017,24,ARND,3,4,1,TUE,3,1,14,25,351436,374438,13,60, , , , , , , , , , 
2017,25,FERO,3,2,2,TUE,3,1,14,43,223381,344106,13,30, , , , , , , , , , 
