a_year,a_ref,v_id,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
2017,1,1,8,1,18,3, , , , , ,2,1,6,1, 
2017,2,1,8,1,10,3, , , , , ,3,1,7,1, 
2017,2,2,8,1,18,3, , , , , ,2,1,6,2, 
2017,3,1,8,1,18,3,3,1,1,1,1,2,1,7,1,1
2017,4,1,8,1,18,3, , , , , ,2,1,8,1, 
2017,4,2,8,1,2,3, , , , , ,4, ,9,1, 
2017,5,1,8,1,13,3,1,1,1,1,1,2,1,5,1,1
2017,5,2,8,1,3,6,1,1,1,1,1,2,1,5,1,1
2017,6,1,8,1,9,3, , , , , ,4,1,7,1, 
2017,6,2,8,1,13,3, , , , , ,2,1,8,1, 
2017,7,1,8,1,18,3, , , , , ,4,1,4,1, 
2017,7,2,8,1,9,3, , , , , ,2,1,8,1, 
2017,7,3,8,1,18,3, , , , , ,2,1,6,1, 
2017,8,1,8,1,18,3,1,3,1,3,5,5,1,3,1,1
2017,9,1,8,1,18,3,2,2,1,2,1,2,1,3,1,1
2017,10,1,8,1,18,3,3,2,11,8,10,2,1,4,1,1
2017,10,2,8,1,18,3,3,3,1,3,8,2,1,6,1,1
2017,10,3,8,1,19,3,3,2,1,5,11,4,2,3,1,1
2017,11,1,8,5,4,4, , , , , ,5,1,8,1, 
2017,11,2,8,1,18,3, , , , , ,2,2,5,1, 
2017,12,1,8,1,18,2, , , , , ,4,1,7,1, 
2017,12,2,8,1,18,2, , , , , ,4,2,4,1, 
2017,13,1,8,1,3,3, , , , , ,3,2,6,1, 
2017,13,2,8,1,4,3, , , , , ,2,2,4,1, 
2017,14,1,8,1,18,3, , , , , ,3,1,5,1, 
2017,14,2,8,1,18,3, , , , , ,2,1,3,1, 
2017,14,3,8,1,18,3, , , , , ,2,2,7,1, 
2017,15,1,8,1,5,2, , , , , ,5,2,6,1, 
2017,15,2,1,1,18,3, , , , , ,2,2,4,1, 
2017,16,1,23,1,18,3, , , , , ,2,1,7,1, 
2017,16,2,8,1,18,3, , , , , ,4,2,8,2, 
2017,17,1,8,1,18,3, , , , , ,2,1,6,1, 
2017,17,2,8,1,18,3, , , , , ,2,2,5,1, 
2017,18,1,8,1,18,3, , , , , ,3,2,4,1, 
2017,18,2,23,1,18,3, , , , , ,2,1,4,1, 
2017,19,1,8,1,18,3,1,6,1,2,5,4,2,3,1,1
2017,20,1,8,1,18,3, , , , , ,3,1,5,1, 
2017,20,2,8,1,4,3, , , , , ,2,1,8,1, 
2017,21,1,8,1,19,4, , , , , ,2,1,7,2, 
2017,21,2,8,1,18,4, , , , , ,3,2,5,1, 
2017,22,1,8,1,4,3, , , , , ,2,1,3,1, 
2017,22,2,8,1,4,3, , , , , ,3,2,4,1, 
2017,23,1,15,1,18,3, , , , , ,3,1,5,1, 
2017,23,2,8,1,18,3, , , , , ,2,1,6,1, 
2017,24,1,8,1,18,3, , , , , ,2,2,6,1, 
2017,24,2,8,1,18,3, , , , , ,2,2,3,1, 
